Date,Open,High,Low,Close,Volume
30-Aug-10,"9,602.55","9,631.42","9,492.69","9,516.42",0
31-Aug-10,"9,531.92","9,827.87","9,531.92","9,813.05",0
1-Sep-10,"9,798.78","9,813.05","9,683.31","9,735.38",0
2-Sep-10,"9,729.57","9,833.71","9,717.22","9,762.89",0
3-Sep-10,"9,765.89","9,801.56","9,675.61","9,703.06",0
6-Sep-10,"9,692.29","9,741.06","9,664.57","9,723.69",0
7-Sep-10,"9,717.16","9,767.62","9,686.19","9,748.14",0
8-Sep-10,"9,737.86","9,905.39","9,715.23","9,891.13",0
9-Sep-10,"9,896.82","9,942.59","9,864.93","9,879.33",0
14-Sep-10,"9,930.46","10,112.75","9,879.33","10,091.25",0
15-Sep-10,"10,097.62","10,141.27","10,019.22","10,046.57",0
16-Sep-10,"10,132.94","10,154.54","10,007.91","10,017.14",0
17-Sep-10,"10,018.67","10,069.84","9,960.15","10,052.97",0
20-Sep-10,"10,094.51","10,095.48","10,035.36","10,063.58",0
21-Sep-10,"10,067.23","10,119.55","9,989.62","9,992.50",0
22-Sep-10,"9,999.89","10,016.53","9,923.69","9,946.42",0
23-Sep-10,"9,953.07","9,982.61","9,860.59","9,866.80",0
24-Sep-10,"9,867.21","9,927.93","9,814.88","9,909.44",0
27-Sep-10,"9,905.48","9,958.07","9,832.81","9,936.79",0
28-Sep-10,"9,956.40","10,029.65","9,952.16","9,981.07",0
29-Sep-10,"9,985.51","10,024.62","9,958.82","10,022.25",0
30-Sep-10,"10,011.24","10,031.19","9,933.67","10,013.31",0
1-Oct-10,"10,012.12","10,106.67","10,002.43","10,042.44",0
4-Oct-10,"10,049.62","10,072.38","10,034.08","10,045.03",0
5-Oct-10,"10,054.54","10,058.84","9,993.77","10,024.86",0
6-Oct-10,"10,034.73","10,051.41","9,995.99","10,029.36",0
7-Oct-10,"10,040.44","10,200.37","10,038.80","10,191.68",0
8-Oct-10,"10,206.96","10,310.85","10,201.53","10,260.48",0
11-Oct-10,"10,273.22","10,338.73","10,243.76","10,322.55",0
12-Oct-10,"10,310.40","10,339.57","10,263.66","10,292.33",0
13-Oct-10,"10,288.86","10,403.62","10,283.13","10,389.97",0
14-Oct-10,"10,399.67","10,476.32","10,388.78","10,409.02",0
15-Oct-10,"10,411.05","10,473.40","10,402.71","10,431.84",0
18-Oct-10,"10,444.89","10,537.28","10,433.55","10,484.39",0
19-Oct-10,"10,516.30","10,531.01","10,448.06","10,464.89",0
20-Oct-10,"10,457.84","10,515.70","10,436.33","10,486.02",0
21-Oct-10,"10,487.63","10,604.30","10,470.23","10,558.74",0
22-Oct-10,"10,561.42","10,709.28","10,553.60","10,652.48",0
25-Oct-10,"10,685.20","10,769.53","10,642.03","10,703.71",0
26-Oct-10,"10,702.03","10,747.82","10,640.05","10,658.15",0
27-Oct-10,"10,657.10","10,758.01","10,657.10","10,704.16",0
28-Oct-10,"10,728.52","10,772.71","10,615.58","10,634.99",0
29-Oct-10,"10,637.46","10,660.72","10,569.12","10,598.40",0
1-Nov-10,"10,628.62","10,667.09","10,528.85","10,538.27",0
2-Nov-10,"10,577.11","10,695.50","10,577.11","10,681.87",0
3-Nov-10,"10,699.27","10,759.98","10,610.09","10,617.65",0
4-Nov-10,"10,615.32","10,729.22","10,604.82","10,702.19",0
5-Nov-10,"10,709.64","10,923.51","10,709.64","10,882.00",0
8-Nov-10,"10,901.16","11,030.35","10,901.16","10,992.28",0
10-Nov-10,"11,017.41","11,047.21","10,929.54","10,941.94",0
11-Nov-10,"10,916.86","10,995.85","10,895.10","10,905.24",0
12-Nov-10,"10,908.07","10,928.30","10,853.11","10,874.02",0
15-Nov-10,"10,887.28","10,934.89","10,841.76","10,909.65",0
16-Nov-10,"10,933.91","10,984.56","10,933.91","10,965.99",0
22-Nov-10,"10,986.97","11,211.61","10,975.97","11,205.84",0
23-Nov-10,"11,236.64","11,248.40","11,142.35","11,171.09",0
24-Nov-10,"11,167.80","11,262.46","11,123.82","11,154.83",0
25-Nov-10,"11,172.64","11,228.79","11,109.72","11,135.34",0
26-Nov-10,"11,150.48","11,196.02","11,134.42","11,145.02",0
29-Nov-10,"11,148.56","11,176.08","11,120.95","11,163.43",0
30-Nov-10,"11,167.93","11,286.68","11,159.06","11,234.76",0
1-Dec-10,"11,250.70","11,329.06","11,214.55","11,221.81",0
2-Dec-10,"11,250.18","11,360.95","11,241.50","11,343.55",0
3-Dec-10,"11,346.44","11,436.40","11,346.44","11,406.66",0
6-Dec-10,"11,442.71","11,486.01","11,420.34","11,440.07",0
7-Dec-10,"11,454.88","11,481.57","11,408.05","11,431.01",0
8-Dec-10,"11,440.30","11,634.00","11,440.30","11,629.93",0
9-Dec-10,"11,645.04","11,649.51","11,558.38","11,569.09",0
10-Dec-10,"11,569.44","11,676.82","11,540.00","11,620.15",0
13-Dec-10,"11,624.91","11,660.53","11,577.41","11,596.69",0
14-Dec-10,"11,604.58","11,719.50","11,602.25","11,672.64",0
15-Dec-10,"11,676.59","11,817.92","11,674.53","11,786.09",0
20-Dec-10,"11,857.67","11,927.93","11,835.91","11,843.65",0
21-Dec-10,"11,861.68","11,897.42","11,808.26","11,825.06",0
22-Dec-10,"11,836.65","11,877.28","11,793.24","11,848.62",0
23-Dec-10,"11,889.72","11,910.09","11,767.00","11,792.83",0
24-Dec-10,"11,800.39","11,877.50","11,767.31","11,858.17",0
27-Dec-10,"11,877.88","11,943.96","11,863.12","11,909.73",0
28-Dec-10,"11,904.37","11,948.80","11,829.04","11,848.05",0
29-Dec-10,"11,861.41","11,942.93","11,815.20","11,886.02",0
30-Dec-10,"11,907.17","12,048.52","11,907.17","12,031.46",0
31-Dec-10,"12,039.05","12,082.61","11,979.88","12,022.46",0
3-Jan-11,"11,914.65","11,949.52","11,761.52","11,849.46",0
4-Jan-11,"11,863.10","12,115.04","11,863.10","12,110.26",0
5-Jan-11,"12,027.19","12,213.19","12,026.22","12,140.84",0
6-Jan-11,"12,141.72","12,380.01","12,141.72","12,323.47",0
7-Jan-11,"12,352.04","12,430.16","12,274.14","12,389.04",0
10-Jan-11,"12,392.76","12,535.77","12,264.27","12,306.70",0
11-Jan-11,"12,320.15","12,367.52","12,245.31","12,267.21",0
12-Jan-11,"12,274.15","12,350.76","12,229.73","12,281.24",0
13-Jan-11,"12,307.26","12,481.06","12,307.26","12,459.44",0
14-Jan-11,"12,496.38","12,550.27","12,458.98","12,533.54",0
17-Jan-11,"12,574.49","12,696.54","12,556.08","12,681.94",0
18-Jan-11,"12,716.64","12,768.40","12,626.20","12,658.16",0
19-Jan-11,"12,668.19","12,734.38","12,559.73","12,577.61",0
20-Jan-11,"12,610.20","12,615.49","12,387.08","12,411.87",0
21-Jan-11,"12,441.07","12,571.82","12,406.46","12,431.91",0
24-Jan-11,"12,460.24","12,483.26","12,349.83","12,370.59",0
25-Jan-11,"12,396.16","12,483.21","12,365.54","12,455.75",0
26-Jan-11,"12,461.50","12,538.63","12,461.50","12,483.34",0
27-Jan-11,"12,506.15","12,557.01","12,451.27","12,477.00",0
28-Jan-11,"12,485.77","12,532.87","12,450.57","12,481.44",0
31-Jan-11,"12,464.36","12,613.54","12,267.89","12,359.36",0
1-Feb-11,"12,352.96","12,420.31","12,174.58","12,273.38",0
2-Feb-11,"12,297.01","12,346.02","12,172.22","12,242.39",0
3-Feb-11,"12,264.85","12,382.92","12,243.93","12,359.05",0
4-Feb-11,"12,359.28","12,442.01","12,344.09","12,414.41",0
7-Feb-11,"12,425.55","12,454.57","12,391.74","12,427.36",0
8-Feb-11,"12,428.56","12,447.85","12,327.63","12,360.94",0
9-Feb-11,"12,359.24","12,366.55","12,257.50","12,299.28",0
10-Feb-11,"12,306.66","12,324.43","12,176.89","12,187.47",0
11-Feb-11,"12,205.59","12,236.63","11,938.24","11,943.34",0
14-Feb-11,"11,945.81","12,040.53","11,875.45","11,946.09",0
15-Feb-11,"11,948.75","12,139.84","11,948.75","12,077.84",0
17-Feb-11,"12,085.74","12,142.03","12,021.54","12,061.77",0
18-Feb-11,"12,077.50","12,142.93","11,962.00","12,041.15",0
21-Feb-11,"12,049.02","12,106.96","11,944.82","11,964.68",0
22-Feb-11,"11,982.51","11,983.05","11,624.77","11,649.38",0
23-Feb-11,"11,649.79","11,694.09","11,485.80","11,523.42",0
24-Feb-11,"11,528.07","11,635.32","11,487.31","11,539.26",0
